hosts_total,time,hosts_responded
8192 ,"01:05:01
",2992 
8192 ,"01:10:01
",2935 
8192 ,"01:15:01
",2976 
8192 ,"01:20:01
",2936 
8192 ,"01:25:01
",2901 
8192 ,"01:30:01
",2868 
8192 ,"01:35:01
",2861 
8192 ,"01:40:01
",2816 
8192 ,"01:45:01
",2809 
8192 ,"01:50:01
",2794 
8192 ,"01:55:01
",2795 
8192 ,"02:00:01
",2758 
8192 ,"02:05:01
",2730 
8192 ,"02:10:01
",2713 
8192 ,"02:15:01
",2695 
8192 ,"02:20:01
",2612 
8192 ,"02:25:01
",2600 
8192 ,"02:30:01
",2566 
8192 ,"02:35:01
",2554 
8192 ,"02:40:01
",2507 
8192 ,"02:45:01
",2525 
8192 ,"02:50:01
",2552 
8192 ,"02:55:01
",2494 
8192 ,"03:00:02
",2484 
8192 ,"03:05:01
",2450 
8192 ,"03:10:01
",2414 
8192 ,"03:15:01
",2438 
8192 ,"03:20:01
",2364 
8192 ,"03:25:01
",2386 
8192 ,"03:30:01
",2367 
8192 ,"03:35:01
",2363 
8192 ,"03:40:01
",2323 
8192 ,"03:45:01
",2286 
8192 ,"03:50:01
",2322 
8192 ,"03:55:01
",2329 
8192 ,"04:00:01
",2269 
8192 ,"04:05:01
",2290 
8192 ,"04:10:01
",2271 
8192 ,"04:15:01
",2206 
8192 ,"04:20:01
",2223 
8192 ,"04:25:01
",2220 
8192 ,"04:30:01
",2202 
8192 ,"04:35:01
",2222 
8192 ,"04:40:01
",2237 
8192 ,"04:45:01
",2202 
8192 ,"04:50:01
",2235 
8192 ,"04:55:01
",2180 
8192 ,"05:00:01
",2203 
8192 ,"05:05:01
",2225 
8192 ,"05:10:02
",2196 
8192 ,"05:15:01
",2209 
8192 ,"05:20:01
",2198 
8192 ,"05:25:01
",2206 
8192 ,"05:30:01
",2179 
8192 ,"05:35:01
",2177 
8192 ,"05:40:01
",2183 
8192 ,"05:45:01
",2150 
8192 ,"05:50:01
",2179 
8192 ,"05:55:01
",2142 
8192 ,"06:00:01
",2182 
8192 ,"06:05:01
",2216 
8192 ,"06:10:01
",2186 
8192 ,"06:15:01
",2182 
8192 ,"06:20:01
",2187 
8192 ,"06:25:01
",2133 
8192 ,"06:30:01
",2189 
8192 ,"06:35:01
",2191 
8192 ,"06:40:02
",2136 
8192 ,"06:45:01
",2179 
8192 ,"06:50:01
",2211 
8192 ,"06:55:01
",2185 
8192 ,"07:00:01
",2293 
8192 ,"07:05:01
",2297 
8192 ,"07:10:01
",2281 
8192 ,"07:15:01
",2287 
8192 ,"07:20:01
",2337 
8192 ,"07:25:01
",2350 
8192 ,"07:30:01
",2389 
8192 ,"07:35:01
",2352 
8192 ,"07:40:01
",2307 
8192 ,"07:45:01
",2331 
8192 ,"07:50:01
",2308 
8192 ,"07:55:01
",2311 
8192 ,"08:00:01
",2374 
8192 ,"08:05:01
",2431 
8192 ,"08:10:01
",2419 
8192 ,"08:15:01
",2408 
8192 ,"08:20:01
",2409 
8192 ,"08:25:01
",2388 
8192 ,"08:30:01
",2414 
8192 ,"08:40:01
",2275 
8192 ,"08:45:01
",2172 
8192 ,"08:50:01
",2111 
8192 ,"08:55:01
",2021 
8192 ,"09:00:01
",2007 
8192 ,"09:05:01
",2030 
8192 ,"09:10:01
",2006 
8192 ,"09:15:01
",2023 
8192 ,"09:20:01
",2066 
8192 ,"09:25:01
",2071 
8192 ,"09:30:01
",2084 
8192 ,"09:35:01
",2069 
8192 ,"09:40:01
",2044 
8192 ,"09:45:01
",2027 
8192 ,"09:50:01
",2012 
8192 ,"09:55:01
",1914 
8192 ,"10:00:01
",1925 
8192 ,"10:05:01
",1956 
8192 ,"10:10:01
",2010 
8192 ,"10:15:01
",1985 
8192 ,"10:20:01
",2003 
8192 ,"10:25:01
",2046 
8192 ,"10:30:01
",2049 
8192 ,"10:35:01
",1912 
8192 ,"10:40:01
",2008 
